"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2026-01-03 00:00:00","3616 S 81ST ST, MILWAUKEE, WI, 53220-1022","Scattered Litter and Debris on Private Property","","pile of cardboard in the road for weeks and a wooden chest curbside not picked up for weeks. these people have been cited for these issues before. terrible look for the neighborhood and these people are filthy."
"2026-01-03 00:00:00","6679 N 83RD ST","Sidewalks Not Shoveled (adjacent to Private Property)","2026-01-03 00:00:00",""
"2026-01-02 00:00:00","5620 W PHILIP PL, MILWAUKEE, WI, 53216-3147","Missed Collection: Recycling","","My collection day was December 31 2025. They missed my cart and it is still on the curb full. This is recycle cart"
"2026-01-02 00:00:00","465 N 50TH ST","Area Dark","2026-01-02 00:00:00","large area of lights out for multiple days on bluemound rd and surround between wisconsin avenue and hawley. also on bluemound around 68th street."
"2026-01-02 00:00:00","5404 W LUEBBE LA","Potholes","","Near the intersection of Bradley Road and North Highview Drive, large sized pothole"
"2026-01-02 00:00:00","3541 W Verona Ct, Milwaukee, WI 53215, USA","Christmas Tree Pickup","2026-01-02 00:00:00",""
"2026-01-02 00:00:00","6106 S AVALON ST, MILWAUKEE, WI, 53221-5105","Garbage Cart Collection Request: Cart Not at Collection Point","2026-01-03 00:00:00","cart not out bc crew came at 6am"
"2026-01-02 00:00:00","624 W SCOTT ST, MILWAUKEE, WI, 53204-0000","Connection Check","2026-01-02 00:00:00","Plumber at site now. Needs a connection check. Called In"
"2026-01-02 00:00:00","4822 W WASHINGTON BL, MILWAUKEE, WI, 53208-1726","Christmas Tree Pickup","","REQUESTING A XMAS TREE PICK UP"
"2026-01-02 00:00:00","3732 S 96TH ST, MILWAUKEE, WI, 53228-1439","Garbage Cart Not Returned to Storage Location","","cart not returned, caller wanted to be anon"
"2026-01-02 00:00:00","6406 W WILBUR AV, MILWAUKEE, WI, 53220-1352","Area Dark","2026-01-03 00:00:00","LIGHTS ARE OUT ON THE ENTIRE BLOCK"
"2026-01-02 00:00:00","624 W SCOTT ST, MILWAUKEE, WI, 53204-0000","INFO ONLY: Miscellaneous Information Request","2026-01-02 00:00:00","milwaukee.gov/click4actioin online info"
"2026-01-01 00:00:00","7320 W CAPITOL DR, MILWAUKEE, WI, 53216-2062","Special Pickup - Accident Debris","","A lot of vehicle accident debris near the northeast corner of W Capitol Dr/W Appleton Ave. Cars running over it and it's in the middle of traffic lanes."
"2026-01-01 00:00:00","3254 N FRATNEY ST","Drainage or Standing Water Not Related to a Clogged Catch Basin","","Frozen water could be possible water line leaking slowly. East side of N. FRATNEY across from school. Lots of debris makes it hard to tell."
"2026-01-01 00:00:00","6810 W Dakota St, Milwaukee, WI 53219, USA","Icy Road","2026-01-02 00:00:00","Resident reporting icy roads requesting salt"
"2026-01-01 00:00:00","1613 E EDEN PL, MILWAUKEE, WI, 53207-3642","Missed Collection: Recycling","","Carts were our on pick up day 12/26, never picked up. Neighbor also has a cart out to be picked up. We have three houses that are MKE and the rest are St Francis which may be why we get missed."
"2026-01-01 00:00:00","5244 N 84TH ST, MILWAUKEE, WI, 53225-3502","Garbage Cart: Damaged","","One garbage cart has a cover that is no longer connected.  Please repair or replace as many feral animals are visiting daily."
"2026-01-01 00:00:00","9411 W ADLER ST, MILWAUKEE, WI, 53214-1271","Recycling Supervisor Notification","","This is the third time in a row
now for missed recycling collection.
This is a never ending battle between missed garbage and recycling collection,
please resolve."
"2026-01-01 00:00:00","1602 N 53RD ST, MILWAUKEE, WI, 53208-2231","Missed Collection: Garbage","","It was scheduled for 12/31/25 but was not collected."
